bucket,prefix,mode,workers,total_mib_per_worker,op_mib,publish_mib,chunk_mib,finalize_on_close,bytes,published_bytes,seconds,write_mibps,published_mibps,writes,flushes,closes,write_p50_ms,write_p99_ms,flush_p50_ms,flush_p99_ms,close_p50_ms,close_p99_ms,errors
rapidbench-projectvoice-442316-1a3785cf,rapidbench,at-end,16,512,4,128,4,false,8589934592,8589934592,14.573614,562.112,562.112,2048,16,16,86.286,960.043,56.858,109.941,5.919,40.858,
rapidbench-projectvoice-442316-1a3785cf,rapidbench,at-end,16,512,32,128,32,false,8589934592,8589934592,6.360237,1288.002,1288.002,256,16,16,133.938,3744.562,31.286,85.778,4.478,5.793,
rapidbench-projectvoice-442316-1a3785cf,rapidbench,at-end,32,512,4,128,4,false,17179869184,17179869184,8.351693,1961.758,1961.758,4096,32,32,29.179,794.219,16.951,72.573,4.186,6.126,
rapidbench-projectvoice-442316-1a3785cf,rapidbench,at-end,32,512,32,128,32,false,17179869184,17179869184,7.051702,2323.411,2323.411,512,32,32,158.707,2557.717,36.904,113.630,4.603,9.160,
rapidbench-projectvoice-442316-1a3785cf,rapidbench,interval,16,512,4,128,4,false,8589934592,8589934592,5.195034,1576.891,1576.891,2048,64,16,17.648,394.485,16.154,21.989,4.207,6.943,
rapidbench-projectvoice-442316-1a3785cf,rapidbench,interval,16,512,32,128,32,false,8589934592,8589934592,3.606542,2271.428,2271.428,256,64,16,131.094,765.293,37.168,135.167,4.949,6.179,
rapidbench-projectvoice-442316-1a3785cf,rapidbench,interval,32,512,4,128,4,false,17179869184,17179869184,6.691932,2448.321,2448.321,4096,128,32,36.582,126.457,34.720,110.058,4.251,8.489,
rapidbench-projectvoice-442316-1a3785cf,rapidbench,interval,32,512,32,128,32,false,17179869184,17179869184,6.730822,2434.175,2434.175,512,128,32,214.762,1900.237,46.413,178.296,4.261,7.820,
rapidbench-projectvoice-442316-1a3785cf,rapidbench,close-at-end,16,512,4,128,4,false,8589934592,8589934592,3.684229,2223.532,2223.532,2048,0,16,22.173,74.137,0.000,0.000,18.938,27.186,
rapidbench-projectvoice-442316-1a3785cf,rapidbench,close-at-end,16,512,32,128,32,false,8589934592,8589934592,3.382769,2421.685,2421.685,256,0,16,165.905,556.286,0.000,0.000,40.147,90.543,
rapidbench-projectvoice-442316-1a3785cf,rapidbench,close-at-end,32,512,4,128,4,false,17179869184,17179869184,6.622921,2473.833,2473.833,4096,0,32,41.147,97.608,0.000,0.000,22.638,39.663,
rapidbench-projectvoice-442316-1a3785cf,rapidbench,close-at-end,32,512,32,128,32,false,17179869184,17179869184,7.002318,2339.797,2339.797,512,0,32,222.799,2224.306,0.000,0.000,36.912,109.310,
